番号,部隊コード,部隊名,上級部隊コード,配置区分,役職,所属区分,軍種,階級,氏名,性別,備考,異常の有無,理由等
30,1Co,第1中隊,1i,,中隊長,主務,陸,1尉,後藤 大輔,男,,,
31,1Co_Dep,副中隊長,1Co,assistant,副中隊長,主務,陸,2尉,藤田 勇,男,,,
32,1Co_CSM,最先任,1Co,assistant,最先任,主務,陸,曹長,石田 浩二,男,,,
33,1Co1Pt,第1小隊,1Co,,小隊長,主務,陸,3尉,長谷川 亮,男,,,
34,1Co1Pt,第1小隊,1Co,assistant,小隊陸曹,主務,陸,1曹,村上 翔,男,,病休,通院のため
35,1Co1Pt1Sq,第1班,1Co1Pt,,班長,主務,陸,2曹,近藤 慎太郎,男,,,
36,1Co1Pt1Sq,第1班,1Co1Pt,,小銃手,主務,陸,3曹,遠藤 航,男,,,
37,1Co1Pt1Sq,第1班,1Co1Pt,,小銃手,主務,陸,士長,青木 陸,男,,,
38,1Co1Pt1Sq,第1班,1Co1Pt,,小銃手,主務,陸,1士,坂本 太陽,男,,,
39,1Co1Pt2Sq,第2班,1Co1Pt,,班長,主務,陸,2曹,杉山 健,男,,,
40,1Co1Pt2Sq,第2班,1Co1Pt,,小銃手,主務,陸,3曹,三浦 翔太,男,,,
41,1Co1Pt2Sq,第2班,1Co1Pt,,小銃手,主務,陸,士長,中野 涼,男,,代休,休日訓練振替
42,1Co1Pt2Sq,第2班,1Co1Pt,,小銃手,主務,陸,2士,西村 剛,男,,,
43,1Co2Pt,第2小隊,1Co,,小隊長,主務,陸,2尉,横山 大樹,男,,,
44,1Co2Pt,第2小隊,1Co,assistant,小隊陸曹,主務,陸,1曹,松本 誠,男,,,
45,1Co2Pt1Sq,第1班,1Co2Pt,,班長,主務,陸,2曹,和田 拓海,男,,,
46,1Co2Pt1Sq,第1班,1Co2Pt,,小銃手,主務,陸,3曹,菅原 裕,男,,,
47,1Co2Pt1Sq,第1班,1Co2Pt,,小銃手,主務,陸,士長,野村 美海,女,,,
48,1Co2Pt1Sq,第1班,1Co2Pt,,小銃手,主務,陸,1士,平野 剛,男,,,
49,1Co2Pt2Sq,第2班,1Co2Pt,,班長,主務,陸,2曹,辻 健太,男,,,
50,1Co2Pt2Sq,第2班,1Co2Pt,,小銃手,主務,陸,3曹,菊地 慎吾,男,,,
51,1Co2Pt2Sq,第2班,1Co2Pt,,小銃手,主務,陸,士長,武田 翔,男,,年休,
52,1Co2Pt2Sq,第2班,1Co2Pt,,小銃手,主務,陸,2士,新井 太陽,男,,,
