番号,部隊コード,部隊名,上級部隊コード,配置区分,役職,所属区分,軍種,階級,氏名,性別,備考,不在,理由等
53,2Co,第2中隊,1i,,中隊長,主務,陸,1尉,千葉 勇,男,,,
54,2Co_Dep,副中隊長,2Co,assistant,副中隊長,主務,陸,2尉,五十嵐 修,男,,,
55,2Co_CSM,最先任,2Co,assistant,最先任,主務,陸,１曹,松尾 茂,男,,,
56,2Co1Pt,第1小隊,2Co,,小隊長,主務,陸,3尉,木下 健,男,,,
57,2Co1Pt,第1小隊,2Co,assistant,小隊陸曹,主務,陸,1曹,荒木 翔,男,,,
58,2Co1Pt1Sq,第1班,2Co1Pt,,班長,主務,陸,2曹,吉川 慎太郎,男,,,
59,2Co1Pt1Sq,第1班,2Co1Pt,,小銃手,主務,陸,3曹,櫻井 航,男,,,
60,2Co1Pt1Sq,第1班,2Co1Pt,,小銃手,主務,陸,士長,熊谷 陸,男,,,
61,2Co1Pt1Sq,第1班,2Co1Pt,,小銃手,主務,陸,1士,大塚 太陽,男,,,
62,2Co1Pt2Sq,第2班,2Co1Pt,,班長,主務,陸,2曹,安藤 健,男,,,
63,2Co1Pt2Sq,第2班,2Co1Pt,,小銃手,主務,陸,3曹,水野 翔太,男,,,
64,2Co1Pt2Sq,第2班,2Co1Pt,,小銃手,主務,陸,士長,黒田 涼,男,,,
65,2Co1Pt2Sq,第2班,2Co1Pt,,小銃手,主務,陸,2士,浅野 剛,男,,,
66,2Co2Pt,第2小隊,2Co,,小隊長,主務,陸,2尉,金子 大樹,男,,,
67,2Co2Pt,第2小隊,2Co,assistant,小隊陸曹,主務,陸,1曹,星野 誠,男,,,
68,2Co2Pt1Sq,第1班,2Co2Pt,,班長,主務,陸,2曹,大野 拓海,男,,,
69,2Co2Pt1Sq,第1班,2Co2Pt,,小銃手,主務,陸,3曹,川島 裕,男,,,
70,2Co2Pt1Sq,第1班,2Co2Pt,,小銃手,主務,陸,士長,高田 美海,女,,,
71,2Co2Pt1Sq,第1班,2Co2Pt,,小銃手,主務,陸,1士,松浦 剛,男,,出張,現地偵察
72,2Co2Pt2Sq,第2班,2Co2Pt,,班長,主務,陸,2曹,神谷 健太,男,,,
73,2Co2Pt2Sq,第2班,2Co2Pt,,小銃手,主務,陸,3曹,片山 慎吾,男,,,
74,2Co2Pt2Sq,第2班,2Co2Pt,,小銃手,主務,陸,士長,福田 翔,男,,,
75,2Co2Pt2Sq,第2班,2Co2Pt,,小銃手,主務,陸,2士,馬場 太陽,男,,,
76,2Co2Pt2Sq,第2班,2Co2Pt,assistant,情報指導,兼務,陸,2尉,加藤 健,男,情報小隊長兼務,年休,家族旅行
