番号,部隊コード,部隊名,上級部隊コード,配置区分,役職,所属区分,軍種,階級,氏名,性別,備考,異常の有無,理由等
7,HQCo,本部管理中隊,1i,,中隊長,主務,陸,3佐,山本 武,男,,,
8,HQCo_Dep,副中隊長,HQCo,assistant,副中隊長,主務,陸,1尉,小林 修,男,,,
9,HQCo_Staff,本管付,HQCo,assistant,事務官,主務,陸,事務官,中村 花子,女,,,
10,IntPt,情報小隊,HQCo,,小隊長,主務,陸,2尉,加藤 健,男,,,
11,IntPt,情報小隊,HQCo,assistant,小隊陸曹,主務,陸,１曹,吉田 翔,男,,代休,当直明け
12,IntPt1Sq,第1班,IntPt,,班長,主務,陸,2曹,鈴木 吾郎,男,,,
13,IntPt1Sq,第1班,IntPt,,情報係,主務,陸,3曹,阿部 慎吾,男,,,
14,IntPt1Sq,第1班,IntPt,,情報係,主務,陸,士長,森田 蒼,男,,,
15,IntPt1Sq,第1班,IntPt,,情報係,主務,陸,1士,石井 陸,男,,,
16,IntPt2Sq,第2班,IntPt,,班長,主務,陸,2曹,井上 恵,女,,年休,私事都合
17,IntPt2Sq,第2班,IntPt,,情報係,主務,陸,3曹,松田 翔太,男,,,
18,IntPt2Sq,第2班,IntPt,,情報係,主務,陸,士長,木村 浩,男,,,
19,IntPt2Sq,第2班,IntPt,,情報係,主務,陸,2士,林 太陽,男,,,
20,SigPt,通信小隊,HQCo,,小隊長,主務,陸,3尉,渡部 翼,男,,,
21,SigPt,通信小隊,HQCo,assistant,小隊陸曹,主務,陸,1曹,清水 健太,男,,,
22,SigPt1Sq,第1班,SigPt,,班長,主務,陸,2曹,山口 大樹,男,,,
23,SigPt1Sq,第1班,SigPt,,通信手,主務,陸,3曹,山崎 誠,男,,,
24,SigPt1Sq,第1班,SigPt,,通信手,主務,陸,士長,池田 涼,男,,,
25,SigPt1Sq,第1班,SigPt,,通信手,主務,陸,1士,橋本 健,男,,,
26,SigPt2Sq,第2班,SigPt,,班長,主務,陸,2曹,中島 美咲,女,,特休,慶弔
27,SigPt2Sq,第2班,SigPt,,通信手,主務,陸,3曹,小川 拓海,男,,,
28,SigPt2Sq,第2班,SigPt,,通信手,主務,陸,士長,岡田 裕,男,,,
29,SigPt2Sq,第2班,SigPt,,通信手,主務,陸,2士,前田 剛,男,,,
