番号,部隊コード,部隊名,上級部隊コード,配置区分,役職,所属区分,軍種,階級,氏名,性別,備考,不在,理由等,その他
1,1i,第1連隊,なし,,連隊長,主務,陸,１佐,佐藤 健一,男,,,,
2,1i_Dep,副連,1i,assistant,副連隊長,主務,陸,2佐,渡辺 健,男,,,,
3,1i_CSM,最先任,1i,assistant,最先任上級曹長,主務,陸,准尉,斎藤 隆,男,,,,PM通院
4,1i_Staff,本部付,1i,assistant,付幹部,主務,空,3佐,高橋 陽子,女,航空支援連絡,出張,中央会議のため,
5,1i_Staff,本部付,1i,assistant,連絡官,主務,海,3佐,田中 海,男,海上支援連絡,,,
6,1i_Staff,本部付,1i,assistant,付曹,主務,陸,曹長,伊藤 茂,男,,,,
7,HQCo,本部管理中隊,1i,,中隊長,主務,陸,3佐,山本 武,男,,,,
8,HQCo_Dep,副中隊長,HQCo,assistant,副中隊長,主務,陸,1尉,小林 修,男,,,,
9,HQCo_Staff,本管付,HQCo,assistant,事務官,主務,陸,事務官,中村 花子,女,,,,
10,IntPt,情報小隊,HQCo,,小隊長,主務,陸,2尉,加藤 健,男,,,,
11,IntPt,情報小隊,HQCo,assistant,小隊陸曹,主務,陸,１曹,吉田 翔,男,,代休,当直明け,
12,IntPt1Sq,第1班,IntPt,,班長,主務,陸,2曹,鈴木 吾郎,男,,,,子の看護のため1000出勤
13,IntPt1Sq,第1班,IntPt,,情報係,主務,陸,3曹,阿部 慎吾,男,,,,
14,IntPt1Sq,第1班,IntPt,,情報係,主務,陸,士長,森田 蒼,男,,,,
15,IntPt1Sq,第1班,IntPt,,情報係,主務,陸,1士,石井 陸,男,,,,
16,IntPt2Sq,第2班,IntPt,,班長,主務,陸,2曹,井上 恵,女,,年休,私事都合,
17,IntPt2Sq,第2班,IntPt,,情報係,主務,陸,3曹,松田 翔太,男,,,,
18,IntPt2Sq,第2班,IntPt,,情報係,主務,陸,士長,木村 浩,男,,,,
19,IntPt2Sq,第2班,IntPt,,情報係,主務,陸,2士,林 太陽,男,,,,
20,SigPt,通信小隊,HQCo,,小隊長,主務,陸,3尉,渡部 翼,男,,,,
21,SigPt,通信小隊,HQCo,assistant,小隊陸曹,主務,陸,1曹,清水 健太,男,,,,
22,SigPt1Sq,第1班,SigPt,,班長,主務,陸,2曹,山口 大樹,男,,,,
23,SigPt1Sq,第1班,SigPt,,通信手,主務,陸,3曹,山崎 誠,男,,,,
24,SigPt1Sq,第1班,SigPt,,通信手,主務,陸,士長,池田 涼,男,,,,
25,SigPt1Sq,第1班,SigPt,,通信手,主務,陸,1士,橋本 健,男,,,,
26,SigPt2Sq,第2班,SigPt,,班長,主務,陸,2曹,中島 美咲,女,,特休,慶弔,
27,SigPt2Sq,第2班,SigPt,,通信手,主務,陸,3曹,小川 拓海,男,,,,
28,SigPt2Sq,第2班,SigPt,,通信手,主務,陸,士長,岡田 裕,男,,,,
29,SigPt2Sq,第2班,SigPt,,通信手,主務,陸,2士,前田 剛,男,,,,
30,1Co,第1中隊,1i,,中隊長,主務,陸,1尉,後藤 大輔,男,,,,
31,1Co_Dep,副中隊長,1Co,assistant,副中隊長,主務,陸,2尉,藤田 勇,男,,,,
32,1Co_CSM,最先任,1Co,assistant,最先任,主務,陸,曹長,石田 浩二,男,,,,
33,1Co1Pt,第1小隊,1Co,,小隊長,主務,陸,3尉,長谷川 亮,男,,,,
34,1Co1Pt,第1小隊,1Co,assistant,小隊陸曹,主務,陸,1曹,村上 翔,男,,病休,通院のため,
35,1Co1Pt1Sq,第1班,1Co1Pt,,班長,主務,陸,2曹,近藤 慎太郎,男,,,,
36,1Co1Pt1Sq,第1班,1Co1Pt,,小銃手,主務,陸,3曹,遠藤 航,男,,,,
37,1Co1Pt1Sq,第1班,1Co1Pt,,小銃手,主務,陸,士長,青木 陸,男,,,,
38,1Co1Pt1Sq,第1班,1Co1Pt,,小銃手,主務,陸,1士,坂本 太陽,男,,,,
39,1Co1Pt2Sq,第2班,1Co1Pt,,班長,主務,陸,2曹,杉山 健,男,,,,
40,1Co1Pt2Sq,第2班,1Co1Pt,,小銃手,主務,陸,3曹,三浦 翔太,男,,,,
41,1Co1Pt2Sq,第2班,1Co1Pt,,小銃手,主務,陸,士長,中野 涼,男,,代休,休日訓練振替,
42,1Co1Pt2Sq,第2班,1Co1Pt,,小銃手,主務,陸,2士,西村 剛,男,,,,
43,1Co2Pt,第2小隊,1Co,,小隊長,主務,陸,2尉,横山 大樹,男,,,,
44,1Co2Pt,第2小隊,1Co,assistant,小隊陸曹,主務,陸,1曹,松本 誠,男,,,,
45,1Co2Pt1Sq,第1班,1Co2Pt,,班長,主務,陸,2曹,和田 拓海,男,,,,
46,1Co2Pt1Sq,第1班,1Co2Pt,,小銃手,主務,陸,3曹,菅原 裕,男,,,,
47,1Co2Pt1Sq,第1班,1Co2Pt,,小銃手,主務,陸,士長,野村 美海,女,,,,
