番号,部隊名,親部隊名,配置区分,役職,所属区分,軍種,階級,氏名,性別,備考
001,普通科中隊,なし,,中隊長,主務,陸,3佐,佐藤 健一,男,
002,普通科中隊本部,普通科中隊,assistant,副中隊長,主務,陸,1尉,鈴木 隆,男,
003,普通科中隊本部,普通科中隊,,中隊付,主務,陸,1尉,高橋 浩,男,
004,普通科中隊,普通科中隊,assistant,最先任,主務,陸,准尉,渡辺 美咲,女,
005,普通科中隊本部,普通科中隊,,総務担当,主務,陸,事務官,伊藤 健太,男,
006,普通科中隊本部,普通科中隊,,通信班長,主務,陸,3曹,山本 大輔,男,
007,第1小隊,普通科中隊本部,,小隊長,兼務,陸,1尉,鈴木 隆,男,
008,第1小隊,普通科中隊本部,,小隊付,主務,陸,2曹,小林 翔,男,
009,第1小隊,普通科中隊本部,,分隊長,主務,陸,2曹,加藤 隼人,男,
010,第1小隊,普通科中隊本部,,機銃手,主務,陸,2曹,吉田 翔太,男,
011,第1小隊,普通科中隊本部,,小銃手,主務,陸,3曹,山田 拓海,男,
012,第1小隊,普通科中隊本部,,小銃手,主務,陸,3曹,佐々木 裕,男,
013,第1小隊,普通科中隊本部,,分隊長,主務,陸,3曹,山口 健,男,
014,第1小隊,普通科中隊本部,,機銃手,主務,陸,3曹,松本 誠,男,
015,第1小隊,普通科中隊本部,,小銃手,主務,陸,3曹,井上 陸,男,
016,第1小隊,普通科中隊本部,,小銃手,主務,陸,3曹,木村 浩二,男,
017,第1小隊,普通科中隊本部,,分隊長,主務,陸,3曹,林 翔平,男,
018,第1小隊,普通科中隊本部,,機銃手,主務,陸,3曹,斎藤 大樹,男,
019,第1小隊,普通科中隊本部,,小銃手,主務,陸,3曹,清水 悠人,男,
020,第1小隊,普通科中隊本部,,小銃手,主務,陸,3曹,山崎 雄太,男,
021,第2小隊,普通科中隊本部,,小隊長,主務,陸,2尉,阿部 亮,男,
022,第2小隊,普通科中隊本部,,小隊付,主務,陸,2曹,池田 隼人,男,
023,第2小隊,普通科中隊本部,,分隊長,主務,陸,2曹,橋本 翔,男,
024,第2小隊,普通科中隊本部,,機銃手,主務,陸,2曹,山下 拓海,男,
025,第2小隊,普通科中隊本部,,小銃手,主務,陸,3曹,石川 航,男,
026,第2小隊,普通科中隊本部,,小銃手,主務,陸,3曹,中島 健,男,
027,第2小隊,普通科中隊本部,,分隊長,主務,陸,3曹,前田 駿,男,
028,第2小隊,普通科中隊本部,,機銃手,主務,陸,3曹,藤田 悠真,男,
029,第2小隊,普通科中隊本部,,小銃手,主務,陸,3曹,小川 大輔,男,
030,第2小隊,普通科中隊本部,,小銃手,主務,陸,3曹,岡田 拓也,男,
031,第2小隊,普通科中隊本部,,分隊長,主務,陸,3曹,長谷川 蓮,男,
032,第2小隊,普通科中隊本部,,機銃手,主務,陸,3曹,後藤 樹,男,
033,第2小隊,普通科中隊本部,,小銃手,主務,陸,3曹,近藤 颯太,男,
034,第2小隊,普通科中隊本部,,小銃手,主務,陸,3曹,村上 浩,男,
035,第3小隊,普通科中隊本部,,小隊長,主務,陸,2尉,遠藤 誠,男,
036,第3小隊,普通科中隊本部,,小隊付,主務,陸,2曹,青木 翔太,男,
037,第3小隊,普通科中隊本部,,分隊長,主務,陸,2曹,坂本 陸,男,
038,第3小隊,普通科中隊本部,,機銃手,主務,陸,2曹,遠藤 悠真,男,
039,第3小隊,普通科中隊本部,,小銃手,主務,陸,2曹,福田 蓮,男,
040,第3小隊,普通科中隊本部,,小銃手,主務,陸,2曹,太田 健,男,
041,第3小隊,普通科中隊本部,,分隊長,主務,陸,3曹,西村 航,男,
042,第3小隊,普通科中隊本部,,機銃手,主務,陸,3曹,藤井 樹,男,
043,第3小隊,普通科中隊本部,,小銃手,主務,陸,3曹,金子 颯太,男,
044,第3小隊,普通科中隊本部,,小銃手,主務,陸,3曹,岡本 拓海,男,
045,第3小隊,普通科中隊本部,,分隊長,主務,陸,3曹,藤原 悠人,男,
046,第3小隊,普通科中隊本部,,機銃手,主務,陸,3曹,柴田 大輔,男,
047,第3小隊,普通科中隊本部,,小銃手,主務,陸,3曹,中川 翔,男,
048,第3小隊,普通科中隊本部,,小銃手,主務,陸,3曹,小野 慎一,男,
049,迫撃砲小隊,普通科中隊本部,,小隊長,主務,海,1尉,高橋 悠人,男,
050,迫撃砲小隊,普通科中隊本部,,小隊付,主務,陸,2曹,原田 達也,男,
051,迫撃砲小隊,普通科中隊本部,,射撃分隊長,主務,陸,3曹,竹内 悠,男,
052,迫撃砲小隊,普通科中隊本部,,砲手,主務,陸,3曹,中野 翔,男,
053,迫撃砲小隊,普通科中隊本部,,弾薬手,主務,陸,3曹,田中 勇気,男,
054,迫撃砲小隊,普通科中隊本部,,射撃分隊長,主務,陸,3曹,田村 陸,男,
055,迫撃砲小隊,普通科中隊本部,,砲手,主務,陸,3曹,小野 航,男,
056,迫撃砲小隊,普通科中隊本部,,弾薬手,主務,陸,3曹,石井 隆,男,
057,迫撃砲小隊,普通科中隊本部,,観測員,主務,陸,3曹,丸山 健一,男,
058,補給整備班,普通科中隊本部,,班長,主務,陸,2曹,木下 雄大,男,
059,補給整備班,普通科中隊本部,,整備員,主務,陸,3曹,高木 翔,男,
060,補給整備班,普通科中隊本部,,補給員,主務,陸,3曹,松田 美咲,女,
061,補給整備班,普通科中隊本部,,運転員,主務,陸,3曹,佐藤 蓮,男,
062,補給整備班,普通科中隊本部,,衛生兵,主務,陸,3曹,鈴木 樹,男,
063,第1小隊,普通科中隊本部,assistant,付添指導官,兼務,海,1尉,高橋 悠人,男,
064,迫撃砲小隊,普通科中隊本部,assistant,観測班長,主務,空,2曹,渡辺 大翔,男,
