番号,部隊コード,部隊名,上級部隊コード,配置区分,役職,所属区分,軍種,階級,氏名,性別,備考
1,第1連隊,第1連隊,なし,,連隊長,主務,陸,１佐,佐藤 健一,男,
2,副連隊長,副連,第1連隊,assistant,副連隊長,主務,陸,2佐,渡辺 健,男,
3,最先任上級曹長,最先任,第1連隊,assistant,最先任上級曹長,主務,陸,准尉,斎藤 隆,男,
4,連隊本部付,本部付,第1連隊,assistant,付幹部,主務,空,3佐,高橋 陽子,女,航空支援連絡
5,連隊本部付,本部付,第1連隊,assistant,連絡官,主務,海,3佐,田中 海,男,海上支援連絡
6,連隊本部付,本部付,第1連隊,assistant,付曹,主務,陸,曹長,伊藤 茂,男,
7,本部管理中隊,本部管理中隊,第1連隊,,中隊長,主務,陸,3佐,山本 武,男,
8,本管副中隊長,副中隊長,本部管理中隊,assistant,副中隊長,主務,陸,1尉,小林 修,男,
9,本管付,本管付,本部管理中隊,assistant,事務官,主務,陸,事務官,中村 花子,女,
10,情報小隊,情報小隊,本部管理中隊,,小隊長,主務,陸,2尉,加藤 健,男,
11,情報小隊,情報小隊,本部管理中隊,assistant,小隊陸曹,主務,陸,１曹,吉田 翔,男,
12,情報小隊1班,第1班,情報小隊,,班長,主務,陸,2曹,鈴木 吾郎,男,
13,情報小隊1班,第1班,情報小隊,,情報係,主務,陸,3曹,阿部 慎吾,男,
14,情報小隊1班,第1班,情報小隊,,情報係,主務,陸,士長,森田 蒼,男,
15,情報小隊1班,第1班,情報小隊,,情報係,主務,陸,1士,石井 陸,男,
16,情報小隊2班,第2班,情報小隊,,班長,主務,陸,2曹,井上 恵,女,
17,情報小隊2班,第2班,情報小隊,,情報係,主務,陸,3曹,松田 翔太,男,
18,情報小隊2班,第2班,情報小隊,,情報係,主務,陸,士長,木村 浩,男,
19,情報小隊2班,第2班,情報小隊,,情報係,主務,陸,2士,林 太陽,男,
20,通信小隊,通信小隊,本部管理中隊,,小隊長,主務,陸,3尉,渡部 翼,男,
21,通信小隊,通信小隊,本部管理中隊,assistant,小隊陸曹,主務,陸,1曹,清水 健太,男,
22,通信小隊1班,第1班,通信小隊,,班長,主務,陸,2曹,山口 大樹,男,
23,通信小隊1班,第1班,通信小隊,,通信手,主務,陸,3曹,山崎 誠,男,
24,通信小隊1班,第1班,通信小隊,,通信手,主務,陸,士長,池田 涼,男,
25,通信小隊1班,第1班,通信小隊,,通信手,主務,陸,1士,橋本 健,男,
26,通信小隊2班,第2班,通信小隊,,班長,主務,陸,2曹,中島 美咲,女,
27,通信小隊2班,第2班,通信小隊,,通信手,主務,陸,3曹,小川 拓海,男,
28,通信小隊2班,第2班,通信小隊,,通信手,主務,陸,士長,岡田 裕,男,
29,通信小隊2班,第2班,通信小隊,,通信手,主務,陸,2士,前田 剛,男,
30,第1中隊,第1中隊,第1連隊,,中隊長,主務,陸,1尉,後藤 大輔,男,
31,1中副中隊長,副中隊長,第1中隊,assistant,副中隊長,主務,陸,2尉,藤田 勇,男,
32,1中最先任,最先任,第1中隊,assistant,最先任,主務,陸,曹長,石田 浩二,男,
33,1中1小,第1小隊,第1中隊,,小隊長,主務,陸,3尉,長谷川 亮,男,
34,1中1小,第1小隊,第1中隊,assistant,小隊陸曹,主務,陸,1曹,村上 翔,男,
35,1中1小1班,第1班,1中1小,,班長,主務,陸,2曹,近藤 慎太郎,男,
36,1中1小1班,第1班,1中1小,,小銃手,主務,陸,3曹,遠藤 航,男,
37,1中1小1班,第1班,1中1小,,小銃手,主務,陸,士長,青木 陸,男,
38,1中1小1班,第1班,1中1小,,小銃手,主務,陸,1士,坂本 太陽,男,
39,1中1小2班,第2班,1中1小,,班長,主務,陸,2曹,杉山 健,男,
40,1中1小2班,第2班,1中1小,,小銃手,主務,陸,3曹,三浦 翔太,男,
41,1中1小2班,第2班,1中1小,,小銃手,主務,陸,士長,中野 涼,男,
42,1中1小2班,第2班,1中1小,,小銃手,主務,陸,2士,西村 剛,男,
43,1中2小,第2小隊,第1中隊,,小隊長,主務,陸,2尉,横山 大樹,男,
44,1中2小,第2小隊,第1中隊,assistant,小隊陸曹,主務,陸,1曹,松本 誠,男,
45,1中2小1班,第1班,1中2小,,班長,主務,陸,2曹,和田 拓海,男,
46,1中2小1班,第1班,1中2小,,小銃手,主務,陸,3曹,菅原 裕,男,
47,1中2小1班,第1班,1中2小,,小銃手,主務,陸,士長,野村 美海,女,
48,1中2小1班,第1班,1中2小,,小銃手,主務,陸,1士,平野 剛,男,
49,1中2小2班,第2班,1中2小,,班長,主務,陸,2曹,辻 健太,男,
50,1中2小2班,第2班,1中2小,,小銃手,主務,陸,3曹,菊地 慎吾,男,
51,1中2小2班,第2班,1中2小,,小銃手,主務,陸,士長,武田 翔,男,
52,1中2小2班,第2班,1中2小,,小銃手,主務,陸,2士,新井 太陽,男,
53,第2中隊,第2中隊,第1連隊,,中隊長,主務,陸,1尉,千葉 勇,男,
54,2中副中隊長,副中隊長,第2中隊,assistant,副中隊長,主務,陸,2尉,五十嵐 修,男,
55,2中最先任,最先任,第2中隊,assistant,最先任,主務,陸,１曹,松尾 茂,男,
56,2中1小,第1小隊,第2中隊,,小隊長,主務,陸,3尉,木下 健,男,
57,2中1小,第1小隊,第2中隊,assistant,小隊陸曹,主務,陸,1曹,荒木 翔,男,
58,2中1小1班,第1班,2中1小,,班長,主務,陸,2曹,吉川 慎太郎,男,
59,2中1小1班,第1班,2中1小,,小銃手,主務,陸,3曹,櫻井 航,男,
60,2中1小1班,第1班,2中1小,,小銃手,主務,陸,士長,熊谷 陸,男,
61,2中1小1班,第1班,2中1小,,小銃手,主務,陸,1士,大塚 太陽,男,
62,2中1小2班,第2班,2中1小,,班長,主務,陸,2曹,安藤 健,男,
63,2中1小2班,第2班,2中1小,,小銃手,主務,陸,3曹,水野 翔太,男,
