番号,組織名,親組織名,役職,役職区分,氏名,性別,血液型,所属区分,role
1,社長室,なし,代表取締役,特別幹部,山田太郎,男,A,主務,normal
2,社長室,社長室,副社長,特別幹部,佐藤次郎,男,B,主務,assistant
3,社長室,社長室,専務取締役,特別幹部,鈴木一郎,男,O,主務,assistant
4,社長室,社長室,常務取締役,特別幹部,高橋健,男,AB,主務,assistant
5,社長室,社長室,社長秘書,上級事務職,田中花子,女,A,主務,assistant
6,開発本部,社長室,本部長,一般幹部,伊藤博,男,O,主務,normal
7,開発本部,開発本部,副本部長,一般幹部,渡辺裕子,女,A,主務,normal
2,開発本部,開発本部,副本部長,一般幹部,佐藤次郎,男,B,兼務,assistant
8,営業本部,社長室,本部長,一般幹部,小林修,男,B,主務,normal
9,営業本部,営業本部,副本部長,一般幹部,加藤美咲,女,O,主務,normal
10,管理本部,社長室,本部長,一般幹部,吉田茂,男,A,主務,normal
11,経営企画室,社長室,室長,部外幹部,中村智,男,AB,主務,normal
12,システム開発部,開発本部,部長,一般幹部,山本健太,男,O,主務,normal
13,アプリ開発部,開発本部,部長,一般幹部,木村拓,男,A,主務,normal
14,インフラ推進部,開発本部,部長,一般幹部,林翔太,男,B,主務,normal
15,国内営業第一部,営業本部,部長,一般幹部,清水誠,男,O,主務,normal
16,国内営業第二部,営業本部,部長,一般幹部,山口莉子,女,A,主務,normal
17,海外営業部,営業本部,部長,一般幹部,松本潤,男,AB,主務,normal
18,人事総務部,管理本部,部長,一般幹部,井上翔,男,A,主務,normal
19,経理財務部,管理本部,部長,一般幹部,斎藤明,男,O,主務,normal
20,第一開発課,システム開発部,課長,部外幹部,橋本環奈,女,AB,主務,normal
21,第一開発課,システム開発部,主任,上級一般職,阿部寛,男,A,主務,normal
22,第一開発課,システム開発部,一般,中級一般職,石川遼,男,O,主務,normal
23,第一開発課,システム開発部,一般,下級一般職,小川彩,女,B,主務,normal
24,第二開発課,システム開発部,課長,部外幹部,藤田ニコル,女,A,主務,normal
25,第二開発課,システム開発部,主任,上級一般職,岡田准一,男,O,主務,normal
26,第二開発課,システム開発部,一般,中級一般職,村上信五,男,AB,主務,normal
27,第二開発課,システム開発部,一般,下級一般職,中島健人,男,A,主務,normal
28,iOSアプリ課,アプリ開発部,課長,部外幹部,前田敦子,女,O,主務,normal
29,iOSアプリ課,アプリ開発部,主任,上級一般職,大島優子,女,B,主務,normal
30,iOSアプリ課,アプリ開発部,一般,中級一般職,篠田麻里子,女,A,主務,normal
31,iOSアプリ課,アプリ開発部,一般,下級一般職,指原莉乃,女,O,主務,normal
32,Android課,アプリ開発部,課長,部外幹部,高橋みなみ,女,AB,主務,normal
33,Android課,アプリ開発部,一般,中級一般職,小嶋陽菜,女,A,主務,normal
34,Android課,アプリ開発部,一般,下級一般職,板野友美,女,O,主務,normal
35,サーバー管理課,インフラ推進部,課長,部外幹部,櫻井翔,男,A,主務,normal
36,サーバー管理課,インフラ推進部,主任,上級一般職,相葉雅紀,男,AB,主務,normal
37,サーバー管理課,インフラ推進部,一般,中級一般職,二宮和也,男,A,主務,normal
38,ネットワーク課,インフラ推進部,課長,部外幹部,大野智,男,O,主務,normal
39,ネットワーク課,インフラ推進部,一般,中級一般職,松本潤,男,B,主務,normal
40,東日本営業課,国内営業第一部,課長,部外幹部,有吉弘行,男,A,主務,normal
41,東日本営業課,国内営業第一部,主任,上級一般職,マツコ,女,O,主務,normal
42,東日本営業課,国内営業第一部,一般,中級一般職,夏目三久,女,B,主務,normal
43,東日本営業課,国内営業第一部,一般,下級一般職,水卜麻美,女,AB,主務,normal
44,西日本営業課,国内営業第二部,課長,部外幹部,明石家さんま,男,B,主務,normal
45,西日本営業課,国内営業第二部,主任,上級一般職,ダウンタウン,男,A,主務,normal
46,西日本営業課,国内営業第二部,一般,中級一般職,ウッチャン,男,O,主務,normal
47,北米営業課,海外営業部,課長,部外幹部,渡辺謙,男,A,主務,normal
48,北米営業課,海外営業部,一般,中級一般職,真田広之,男,AB,主務,normal
49,欧州営業課,海外営業部,課長,部外幹部,浅野忠信,男,A,主務,normal
50,欧州営業課,海外営業部,一般,中級一般職,役所広司,男,O,主務,normal
51,採用課,人事総務部,課長,部外幹部,新垣結衣,女,A,主務,normal
52,採用課,人事総務部,主任,上級事務職,星野源,男,AB,主務,normal
53,採用課,人事総務部,一般,中級事務職,石原さとみ,女,A,主務,normal
54,労務課,人事総務部,課長,部外幹部,綾瀬はるか,女,B,主務,normal
55,労務課,人事総務部,一般,中級事務職,長澤まさみ,女,O,主務,normal
56,経理課,経理財務部,課長,部外幹部,北川景子,女,O,主務,normal
57,経理課,経理財務部,主任,上級事務職,戸田恵梨香,女,AB,主務,normal
58,財務戦略課,経理財務部,課長,部外幹部,堀北真希,女,B,主務,normal
59,財務戦略課,経理財務部,一般,中級事務職,新木優子,女,A,主務,normal
60,経営企画課,経営企画室,課長,部外幹部,菅田将暉,男,A,主務,normal
61,経営企画課,経営企画室,一般,中級事務職,吉沢亮,男,B,主務,normal
62,新規事業課,経営企画室,課長,部外幹部,山﨑賢人,男,A,主務,normal
63,新規事業課,経営企画室,一般,中級事務職,横浜流星,男,O,主務,normal
